¿Qué título ganó Neymar con Brasil en 2019?, Copa América, Confederaciones, Oro Olímpico, Mundial, Copa América,
¿En qué año debutó Neymar con la selección brasileña?, 2010, 2009, 2011, 2008, 2010,
¿Cuántos Balones de Oro ha ganado Neymar?, 0, 1, 2, 3, 0,
¿Cuál es el apodo de Neymar?, Ney, El Fenómeno, El Bicho, Neymágico, Ney,
¿Cuántos goles anotó Neymar con el Santos?, 136, 100, 150, 128, 136,
¿En qué año ganó Mbappé su primer Mundial?, 2018, 2022, 2014, 2010, 2018,
¿Con qué equipo debutó Mbappé profesionalmente?, Monaco, PSG, Lyon, Marsella, Monaco,
¿Qué dorsal usa Mbappé en el PSG?, 7, 10, 9, 11, 7,
¿Cuántos goles anotó Mbappé en el Mundial 2022?, 8, 6, 7, 5, 8,
¿En qué ciudad nació Mbappé?, Bondy, París, Marsella, Lyon, Bondy,
¿Cuántas Champions League ha ganado Mbappé?, 0, 1, 2, 3, 0,
¿En qué año debutó Mbappé con la selección francesa?, 2017, 2016, 2018, 2015, 2017,
¿Qué premio ganó Mbappé en el Mundial 2018?, Mejor Jugador Joven, Bota de Oro, Balón de Oro, Guante de Oro, Mejor Jugador Joven,
¿Cuántos goles marcó Mbappé en la final de Qatar 2022?, 3, 2, 1, 4, 3,
¿Qué club fichó a Mbappé en 2017?, PSG, Real Madrid, Barcelona, Monaco, PSG,
¿En qué año ganó Cristiano Ronaldo su primer Balón de Oro?, 2008, 2009, 2010, 2007, 2008,
¿Con qué equipo debutó Cristiano profesionalmente?, Sporting CP, Manchester United, Real Madrid, Juventus, Sporting CP,
¿Cuántos goles anotó Cristiano con el Real Madrid?, 450, 500, 400, 425, 450,
¿Qué dorsal usó Cristiano en el Manchester United inicialmente?, 7, 9, 17, 28, 7,
¿En qué año ganó Cristiano la Eurocopa?, 2016, 2020, 2012, 2008, 2016,
¿En qué ciudad nació Cristiano Ronaldo?, Funchal, Lisboa, Porto, Coímbra, Funchal,
¿Cuántas Champions League ha ganado Cristiano Ronaldo?, 5, 4, 6, 3, 5,
¿En qué año debutó Cristiano con la selección portuguesa?, 2003, 2004, 2005, 2002, 2003,
¿Qué equipo fichó a Cristiano en 2018?, Juventus, Real Madrid, Manchester United, Al Nassr, Juventus,
¿Qué dorsal usó Cristiano en el Real Madrid?, 7, 9, 10, 11, 7,
¿En qué año ganó Maradona la Copa del Mundo?, 1986, 1990, 1982, 1978, 1986,
¿Con qué equipo debutó Maradona profesionalmente?, Argentinos Juniors, Boca Juniors, Barcelona, Napoli, Argentinos Juniors,
¿Qué dorsal usó Maradona en el Napoli?, 10, 7, 9, 11, 10,
¿En qué ciudad nació Maradona?, Lanús, Buenos Aires, Villa Fiorito, Rosario, Villa Fiorito,
¿En qué año debutó Maradona con la selección argentina?, 1977, 1978, 1979, 1980, 1977,
¿Cuántos goles anotó Maradona en la Copa del Mundo 1986?, 5, 6, 4, 7, 5,
¿En qué año ganó Maradona su primer título con Boca Juniors?, 1981, 1982, 1980, 1983, 1981,
¿Qué apodo tenía Maradona?, El Diego, La Pulga, El Pelusa, El Pibe de Oro, El Pibe de Oro,
¿Que titulo gano Maradona con Napoli en 1987? , Serie A, Copa Italia, Supercopa Italia, Copa de Europa, Serie A,
¿En que año debutó Maradona en la Copa del Mundo?, 1982, 1986, 1978, 1990, 1982,
